Sirpca,Turkce
Špijuna,Casus
Šporet,Ocak / Fırın
Šporeti,Ocaklar / Fırınlar (kadın)
Šri Lanke,Sri Lanka'nın
Šta,Ne
Šta je ovo,Bu nedir
Šta misliš,Ne düşünüyorsun
Šta radiš,Ne yapıyorsun
Šta ti biraš,Ne seçiyorsun
Štampa,Basım / Baskı
Štampa izvoda,Çıktı al
Štamparski centar,Baskı merkezi
Štampati,Kitap baskmak (fiil)
Štand,Stand
Štandova,Standlar
Štapni,Sopa
Štapni usisivač,Sopa elektrikli süpürge
Štedeći,Kaydediliyor
Štedi,Kaydeder
Šteta,Zarar / Ziyan
Šteti,Acıtıyor
Štetu,Zarara (akuzativ)
Štikle,Topuklu
Štipaljki,Mandallar
Štiti,Korur (o)
Štititi,Korumak (fiil)
Što,Neden / ne / Hangisi  (soru) 
Što je,O ne (soru)
Što je to?,Bu nedir? (soru)
Što nam možete ponuditi,Bize ne öneriyorsunuz?
Što sam,Ben neyim (soru)
Što si,Sen nesin (soru)
Što smo,Biz neyiz (soru)
Što su,Onlar ne
Što više,Olabildiğince çok / Bol bol
Što znači ,Bunun anlamı
Što znači da,Bu da ... anlamına gelir ki.
Šumski / Šuma,Orman
Šunka,Jambon (domuz)
Šutra,Yarın (Sırbistan)
Švajcarska,İsviçre
Švajcarske,İsviçre'nin (kadın) (genitiv)
Švedske,İsveç
šamponia,şampuan
Tabelu,Tabloyu / Masayı (akuzativ)
Tableta,Hap / Tablet (tekil)
Tablete,Tabletler / Haplar
Tabletu,Hap / Tablet (kadın) (akuzativ)
Tablica,Plaka (çoğul) (lokativ)
Tabure,Tabureler
Tacnom / Poslužavnik,Tepsi
Tačan,Doğru
Tačka,Nokta (kadın)
Tačkama,Noktalarda (dativ) ((instrumental)
Tačke,Noktalı / Puanlı (kumaş) (çoğul)
Tačna veličina,Tam beden / Doğru ölçü
Tačne,Doğru (çoğul) (kadın)
Tačnih,Doğru / Doğru olanların
Tačno,Doğru / Kesin / Tam olarak (nötr)
Tad,O an / o vakit
Tada,O zaman  / O anda / O sırada
Tai či,Tai chi
Taj,Şu / O
Tajna,Sır
Takmičar,Yarışmacı (erkek)
Takmičara,Yarışmacıyı / Yarışmacının (genitiv)
Takmičari,Rakipler
Takmičaru,Yarışmacıya / Yarışmacıda (dativ) (lokativ)
Takmičenja,Yarışmalar / Müsabakalar
Takmičenje,Yarışma
Takmičenjima,Karşılaşmalarda (lokativ)
Takmićenju,Yarışmaya / Yarışmada (dativ) (lokativ)
Tako,böyle / Böylece / Bu şekilde /  Bu kadar / Bu nedenle
Tako što,Şöyle ki / Şu şekilde
Tako veliko,Ne kadar büyük
Takođe,Ayrıca / Aynı şekilde / -de / - da (bağlaç)
Taksi,Taksi
Taksijem,Taksiyle
Taksista,Taksi şöförü (erkek)
Taktove,Atım
Talasasta,Dalgalı saç
Talentovan,Yetenekli (erkek)
Talentovana,Yetenekli (kadın)
Talentovane,Yetenekli (çoğul) (kadın)
Talentovani,Yetenekli (çoğul) (erkek) (karma)
Talentovano,Yetenekli (nötr)
Taman,Koyu (erkek)
Tamjanike,Üzüm türü (kadın)
Tamna,Koyu (kadın)
Tamna ,Koyu
Tamne,Koyular
Tamni,Koyu (renk)
Tamnih,Karanlık / Koyu
Tamnih očiju,Koyu gözler
Tamno,Karanlık / Koyu / Mat
Tamnog,Koyu (genitiv) (akuzativ)
Tamo,Şurada / Orada (zarf)
Tamo su,Orada ... var
Tanica,Tank / Depo / Konteyner
Tanjir,Tabak
Tanjiri,Tabaklar (erkek)
Tapu,Tapu
Tarom,Tara nehrinde (instrumental)
Tartufa,Yer mantarı
Tastasture,Klavyeler (kadın)
Tastatura,Klavye (kadın)
Tašna,El çantası / Omuz çantası
Tata,Baba (samimi dil)
Tatom,Babamla (instrumental)
Te,Seni
Te (II),O işaret zamiri) (kadın)
Textil,Tekstil
Teatar,Tiyatro
Tebe,Seni / Sana
Technologiju / Tehnologija / Tehnologijom,Teknoloji
Teči,Akmak (fiil)
Tečna,Sıvı
Tečno,Sıvı / Akışkan
Teget,Lacivert (renk)
Tegla ,Kavanoz
Tegoba,Rahatsızlık / Şikayet
Tegobama ,Şikayetlerle / Rahatsızlıklarla (instrumental)
Tegobe,Sorunlar / Şikayetler / Rahatsızlıklar / Sağlık problemleri
Tehnički,Teknik
Tehničkih,Teknik (çoğul) (genitiv)
Tehnike,Teknoloji
Tehnologija,Teknoloji
Tehnologije,Teknolojinin (genitiv) / Teknolojiler (nominativ) / Teknolojilere (dativ)
Tek,Ancak / Sadece / Daha sonra
Tekst,Metin
Tekstove,Metinleri (akuzativ)
Tekstu,Metne
Tele,Buzağı
Teleća,Dana eti
Teleća supa,Dana Çorbası
Teleće,Dana etinden yapılmış
Teleće meso,Dana eti
Teleći,Dana eti (erkek - çoğul)
Teleći gulaš,Dana gulaşı
Teleći kotlet,Dana pirzola
Teleći odrezak,Dana Bifteği
Telefon,Telefon
Telefona,Telefona / Telefonun (genitiv)
Telefone,Telefonlarda / / Telefonlara (akuzativ)
Telefonirati,Telefon etmek (ffil)
Telefonom,Telefonla
Telefonski,Telefon görüşmesi / Telefon ile ilgili 
Telekomunikacija,Telekomünikasyon
Teletina,Dana eti
Televizija,Televizyon (TV)
Televiziju,Televizyonu
Televizor,Televizyon (cihaz)
Televizora,Televizyonun (genitiv) / Televizyonu (akuzativ) / Televizyonlar
Televizore,Televizyonlar (cihaz)
Tema,Konu / Tema (kadın)
Teme / Temama,Konular
Teme koje,Hangi konular
Temeljna,Temel / Esas / Ana (kadın)
Temeljna vrijednost,Temel değer
Temom,Konuyla / Temayla (instrumental)
Temperatura,Ateş (hastalık) / Sıcaklık
Temperaturi,Ateşe / Sıcaklığı
Temperaturu,Ateşini / Sıcaklığını (akuzativ)
Tempo,Tempo
Tenis,Tenis (spor)
Teniska,Tenisle ilgili (kadın)
Teniski,Tenisle ilgili (erkek)
Tenisko,Tenisle ilgili (nötr)
Teniskog,Tenisle ilgili (akuzativ)
Teorije,Teoriler
Tepih,Halı
Tepsija,Güveç tabağı
Terasa,Teras (kadın)
Terase,Teraslar (kadın)
Terasi,Terasta (lokativ)
Terasu,Teras (akuzativ)
Terena,Arazi
Terenu,Arazi
Teret,Yük
Teretana,Spor salonu
Teretanu,Spor salonuna (akuzativ)
Tereti,Yükler / Kargolar / Ağırlıklar / Borçlar
Teretiti,Yüklemek / Suçlamak (fiil)
Teretni,Yük taşıyan / Kargo
Teretni brod,Yük gemisi
Teritorija,Toprak / Bölge / İdari sınırlar (kadın)
Teritoriji,Sınırları içinde / Bölgesinde
Termometar,Termometre
Terorističkom,Terörist
Testirano,Test edildi
Testiranje,Test yapmak
Testo,Hamur
Teška,Ağır / Zor (kadın)
Teška nesreća,Ağır kaza
Teške,Ağır (dişi) (genitiv)
Teškim,Zor (dativ) (lokativ) (instrumental)
Teško,Zor / Ağır / Nitelikli
Teško ubistvo u pokušaju,Ağır adam öldürmeye teşebbüs
Teškom,Zorlu (dativ) (lokativ) (erkek)
Tetak,Enişte (teyze/Hala kocası)
Tetka,Teyze / Hala
Tetke,Teyzesinin (kadın) (genitiv)
Težak,Ağır / Zor (erkek)
Težina,Ağırlık
Težini,Ağırlık
Ti,Sen (şahıs zamiri)
Ti treba,Ihtiyacın var
Tiganj,Tava
Tiganja,Tavalar
Tih,Sesiz
Tihi / Muk,Sessizlik
Tihog,Sessiz
Tijela,Vücudun (genitiv)
Tijelo,Vücut
Tikvica,Kabak (sebze)
Tim,Bu (instrumental)
Tim je tu da vam pomogne,Ekip size yardım etmek için burada
Tima,Takım / Ekip (erkek) (genitiv)
Time,Böylece
Timski,Takım / Ekiple ilgili 
Timski rad,Takım çalışması
Timu,Takıma / Ekibe (dativ) (akuzativ)
Tip,Tip / Tür / Çeşit
Tirkizna,Turkuaz
Tišine,Sessizliğin / Sessizlikten (genitiv)
Titlovano,Altyazılı
Titogradske,Titograd'a ait
Tjestenina / Tjestenine / Makarona,Makarna
Tko,Kim (Hırvatça) (soru)
TO (Turistička Organizacija),Turizm Organizasyonu
To,Bunu (işaret zamiri)
To je,Bu / o (yer tanımlaması)
To je super!,Bu harika!
To je to,İşte bu / Tam olarak bu
Townu,Kasabaya / Kasabada (dativ) (lokativ)
Toyote,Toyota (araba)
Toalet,Tuvalet
Točak,Tekerlek
Točak sreće,Çarkıfelek
Toga,Ondan / Şundan / Bundan (nakon veya zbog ile kullanılır)
Toga uz,Buna ek olarak
Toj,Ona / Şuna (kadın) (dativ)
Tok,Akış / Süreç
Tokom,Sırasında / Boyunca (edat)
Tokom boravka,Konaklama sırasında
Tokom praznika,Tatillerde
Tokom sedmice,Hafta boyunca
Toku,Akış / Süresince
Toliko,Çok fazla
Tom,o / Şu / O yerdeki
Topao,Sıcak (erkek)
Topla,Ilık / Sıcak
Tople,Sıcak (kadın) (genitiv)
Topli / Topla / Toplo,Ilık
Topliju,Daha sıcak (kadın) (akuzativ)
Toplina / Toplini,Isı / Sıcaklık
Toplinom,Sıcaklıkla (instrumental)
Toplo,Sıcak (hava olayı)
Topola ,Kavak ağacı
Torba,Çanta
Torbi,Çantaya (yönelme hali)
Torbu,Çantayı (akuzativ)
Torta,Pasta / Tatlı
Tortilja,Tortilla
Tortilje,Tortilla
Tortu,Pasta (akuzativ)
Toster,Tost makinası
Totalna,Toplam / Total / Tam / Mutlak
Tracia,Trakya
Tradicija,Gelenek
Tradicije,Geleneğin (genitiv)
Tradiciju,Geleneği (akuzativ) (kadın)
Tradicionalan,Geleneksel
Tradicionalne,Geleneksel (çoğul) (kadın)
Tradicionalni,Geleneksel (erkek) (nötr) (çoğul)
Tradicionalno,Geleneksel olarak
Tragedija,Trajedi
Tragedije,Trajedinin / Felaketin (genitiv)
Tragičan,Trajik
Tragičan događaj,Trajik olay
Tragičnih,Trajik (sıfat) (çoğul)
Tragično,Trajik
Tragovi,İzler
Trajala,Sürdü (geçmiş)
Trajan,Kalıcı / Sürekli
Trajanja,Süre
Trajanju,Süresince / Boyunca
Trajati,Sürmek (süreç) (fiil)
Traje,Sürer
Trajekt,Feribot
Trajno,Kalıcı / Sonsuza dek
Trajnog,Kalıcılığın (genitiv)
Trajnog oduzimanja,Kalıcı el koyma
Trajnost,Dayanıklılık
Traju do,Kadar sürecek
Traka,Bant / Şerit
Traku,Bantı / Şeridi (akuzativ)
Transakcioni,İşlem yapan
Transformacije,Dönüşümün
Transformativan,Dönüştürücü
Transformativna,Dönüştürücü / Değiştirici (kadın)
Transparentnost,Şeffaflık
Trasirala,Izlenen
Trava,Çimen
Travnja,Nisan'ın (genitiv) (Hırtavça)
Traže,Bakıyorlar
Traži,Arıyor / İstiyor (o)
Tražile,Arandı
Tražim,Arıyorum / Talep ediyorum (ben)
Tražimo,Arıyoruz (biz)
Tražiš,Arıyorsun (sen)
Tražite,Arıyorsunız (siz)
Tražiti,Aramak / İstemek / Talep etmek (fiil)
Trčanje,Koşu
Trčanjem,Koşuya / Koşuyla (instrumental)
Trčati,Koşmak (fiil)
Trčim,Koşuyorum (ben)
Trđave,Kaleler
Trđavu,Kale / Hisar
Treba,Lazım / Gerekli
Treba mi,Bana gerekiyor / İhtiyacım var
Trebalo,Gerekiyordu (geçmiş)
Trebati,Gerekmek (fiil)
Treća,Üçüncü (kadın)
Treće,Üçüncü (nötr)
Treće lice,Üçüncü kişi
Treći,Üçüncü (erkek)
Trećoj,Üçüncü (kadın)
Trendove,Trendler / Akımlar (akuzativ)
Trendovi,Trendler / Akımlar
Trening,Antrenman
Treninge,Antrenmanlar (akuzativ)
Treningu,Antrenmanda
Treniraju,Eğitiyorlar
Treniram,Antrenman yapıyorum
Trenirati,Antrenman Yapmak (fiil)
Trenucima,Anlarda (lokativ)
Trenutak,An / Dakika / Zaman dilimi (erkek)
Trenutaka,Anların (genitiv)
Trenutan,Mevcut
Trenutka,Anın içinde / Anın (genitiv)
Trenutke,Anları / Belirli anları (akuzativ) / Anlar
Trenutku,Ana / Zamana (dativ) / o anda / o zamanda (lokativ)
Trenutni,Mevcut
Trenutno,Şu anda
Trenutnu,Mevcut / Şu anki (akuzativ)
Trešnja,Kiraz (meyve)
Tretira,Davranır
Tretirati,Muamele Etmek / Davranmak (fiil)
Tretmana,Tedavi
Trg,Kare / Meydan
Trga,Meydanın (genitiv)
Trgovce,Tüccarlar
Trgovi,Meydanlar
Trgovina,Mağaza / Dükkan / Ticaret / Alışveriş
Trgovine,Mağazaların / Dükkanların (genitiv) / Mağazaları / Dükkanları (akuzativ)
Trgovini / Trgovina / Trgovinu,Ticaret
Trgu,Meydanda (lokativ)
Tri,Üç (sayı) (cinsiyet yok)
Trideset,Otuz (sayı)
Trileće,Trileçe
Trim-staza,Koşu - Yürüyüş parkuru
Trim-stazi,Koş - Yürüyüş parkurunda (lokativ)
Trimer / Trimera,Düzeltici
Trižištu,Pazar yeri
Trka,Koşu / Yarış
Trke,Koşular / Yarışlar
Trku,Irk
Trodnevne,Üç günlük
Troje,Üç (nötr)
Trojica,Üç kişi
Trosjed,Üç kişilik kanape / Üç kişilik koltuk
Trosjed na razvlačenje,Çekyat
Trosjeda,Kanepenin (genitiv)
Trosjedi,Üç kişilik koltuklar / Üç kişilik kanapeler 
Trospratna,Üç katlı (ev)
Trošak,Maliyet / Gider
Troškove,Masrafları (akuzativ)
Trotinet,Mobilet
Trotinete,Üç tekerlekli bisikletler (scooter)
Trpezarija,Yemek odası (kadın)
Trpezarije,Yemek odaları (kadın)
Trpezarijski / Trpezarijskog,Yemek odası
Trpezu,Yemek Masası
Trudim se,Çalışıyorum / Çaba gösteriyorum
Truditi se,Çaba göstermek / Gayret etmek (fiil)
Trudu,Çaba
Tržišnih,Pazarlanabilir
Tržišta,Pazarın
Tržište,Pazar (ticaret)
Tržištu,Pazara / Pazarda dativ) (lokativ) (ticaret)
Tržnicama / Pijacama,Piyasalar
Tržnice,Kapalı pazar yerleri /  Çarşılar
Tu,Burada / Şurada (zarf) (konum)
Tub,Küvet
Tuga,Üzüntü / Yas / Keder
Tugovati,Yas tutmak (fiil)
Tugu,Üzüntüyü / Acıyı (kadın) (akuzativ)
Tugujemo,Yas tutuyoruz
Tuna salata,Ton balıklı salata
Tunjevina,Tuna / Ton balığı 
Tunjevinom,Ton balığı
Tura / Turu,Tur
Turbulencije,Türbülans
Turci,Türkler
Turčin,Türk (erkek)
Turiste,Turistler (akuzativ)
Turisti,Turistler
Turistička,Turistik (kadın)
Turistička sezona,Turizm sezonu
Turističke,Turistik (kadın) (genitiv)
Turističke agencije,Turizm acentaları
Turistički,Turistik
Turističko,Turistik (nötr)
Turističkog,Turistik / Turist ile ilgili (genitiv)
Turističkog info-biroa,Turist bilgi ofisi
Turističkoj,Turistik (kadın) (dativ)
Turističkom,Turistik (instrumental)
Turističku sezonu,Turizm  sezonunu
Turizam,Turizm / Turizmi (akuzativ)
Turizma,Turizmin (genitiv)
Turizmu,Turizmde (dativ)
Turkinja,Türk (kadın)
Turkinje,Türkler (kadın)
Turnir / Turnira,Turnuva
Turska,Türkçe / Türkiye ile ilgili (kadın)
Turska muzika,Türk Müziği
Turske,Türkiye'nin / Türk (genitiv)
Turski,Türkçe / Türiye ile ilgili (erkek)
Tursko,Türkçe / Türkiye ile ilgili (nötr)
Turskoj,Türkiye'ye (dativ) / Türkiye'de (lokativ)
Turskom,Türkiye ile (instrumental)
Tursku,Türkiye'yi (akuzativ)
Turu,Tur
Tuš,Duş
Tuš-kabina,Duşa kabin
Tuširam se,Duş alıyorum (ben)
Tuširati se,Duş almak (fiil)
Tužan,Üzgün (erkek) (sıfat)
Tužilac,Savcı
Tužilac,Savcı
Tužilaštvo,Savcılığa (dativ)
Tužilaštvu,Savcılığa (dativ) (lokativ)
Tužioca,Savcının (genitiv)
Tužna,Üzgün
Tužno,Üzgün (nötr)
TVCG (Televizija Crne Gore),Karadağ Devlet Televizyonu
Tvog,Senin (erkek) (nötr)
Tvoj,Senin (erkek)
Tvoja (1),Senin (kadın)
Tvoja (2),Senin (nötr) (çoğul)
Tvoja druga polovina ovog ljeta,Bu yaz diğer yarım
Tvoje (1),Senin (kadın) (çoğul)
Tvoje (2),Senin (nötr)
Tvoji,Senin (erkek) (çoğul)
Tvojoj,Senin (kadın) (nötr) (dativ) (lokativ)
Tvrdi,Iddia ediyor
Tvrditi,Iddia etmek (fiil)
Tvrdnje,İfadeler
Tvrđavama,Kaleler
Tzatziki,Cacık
Tzv,Sözde
U,İçinde / -de -da (ek) / -e / -a (edat) / Belli bir yerin içine girmek / orada bulunmak
U 5 do 12,Son dakika (mecaz)
U baletu,Balede
U centru,Merkezde
U cijenu,Fiyatta
U cijenu svih,Her şeyin bedeli karşılığında
U cjelini,Bütünüyle / Genel olarak
U do sada,Şimdiye kadar
U dugim,Uzun süre
U emisiji,Gösteride
U jednom pravcu,Tek yön (bilet)
U leđa,Sırtımıza / Arkadan 
U mreži Hipotekarna banke,Hipotekarna Banka ağında
U najčistijoj,En saf haliyle
U najkraćem,Mümkün olan en kısa sürede
U Opisu,Açıklamada / Tanıma
U ovo doba godine,Yılın bu zamanında
U paru,Çiftler halinde
U podučavanju,Öğretme konusunda
U pravu ste,Haklısın
U proceduru,Prosedüre
U Rimu,Roma'da
U rasprodaji,Satılık
U redu,Peki / Tamam / İyi / Uygun
U saopštenju,Bildiride
U sjajnoj kondiciji,Mükemmel durumda
U skladu sa...	,Uygun şekilde anlamı verir
U službenim prostorijama,Resmi kuruluşlarda
U školu,Okula
U tabelu,Masada / Tabloda
U toku je,Şu anda olan / Yürürlükte
U toku je	,Şu anda sürüyor
U vezi sa,Ile ilgili olarak
Ubistvo,Cinayet / Adam öldürme
Ubjedljivu,Inandırıcı
Ubrusi,Kağıt havlu / Havlu peçete (çoğul) (erkek)
Ubrzani,Hızlandırılmış
Ubrzanje / Ubrzati,Hızlandırmak
Uče,Öğreniyorlar (onlar)
Učenica,Öğrenci (kadın)
Učenici,Öğrenciye (dativ) (kadın)
Učesnici,Katılımcılar
Učesnik,Katılımcı
Učesnika,Katılımcıların (genitiv)
Učestvovali,Katıldık (geçmiş)
Učestvovanju,Katılım / Katılma
Učestvovao,Katıldı (geçmiş) (o)
Učestvovati ,Katılmak / İştirak etmek (fiil)
Učestvuje,Katılıyor (o)
Učestvuješ,Katılıyorsun (sen)
Učestvujete,Katılıyorsununuz (siz)
Učestvuju,Katılıyorlar (onlar)
Učešća,Katkılar
Učešće,Katılım
Učešću,Katılacağım
Uči,Öğreniyor / Öğren (emir)
Učim,Öğreniyorum (ben)
Učimo,Öğreniyoruz (biz)
Učinilac,Suçlu
Učinile,Yaptılar
Učinimo,Hadi yapalım
Učinio,İşlediği (geçmiş)
Učiniocu,Fail hakkında
Učinite,Yap
Učiniti,Yapmak / Gerçekleştirmek / İşlemek (sonuç ifade eder) (fiil)
Učinkovitost / Efikasnost,Yeterlik
Učionici,Derslikler
Učitelj / Nastavnik,Öğretmen (erkek)
Učiteljica / Nastavnica,Öğretmen (kadın)
Učiteljice,Öğretmenler (kadın)
Učiteljima,Öğretmenlere (dativ)
Učiti,Çalışmak  / Öğrenmek (fiil)
Učvršćuje,Güçlendirir
Ućesnika / Izlagači / Učesnici / Polaznicima,Katılımcılar
Ući,Girmek (fiil)
Udahni,Nefes al (sen)
Udahnuti,Nefes almak / İçine çekmek (fiil)
Udaljenost,Mesafe
Udaljio,Uzaklaştırıldı (geçmiş)
Udaljiti,Uzaklaştırmak (fiil)
Udaljiti se,Uzaklaşmak
Udar,Darbe
Udar sreće / Srećom,Şans eseri
Udarati,Vurmak (fiil)
Udario,Vurmak / Çarpmak
Udata,Evli kadın
Udavati,Evlendirmek (kadın) (fiil)
Udisaj,Nefes alma
Udjelom,Paylaşıma göre
Udovoljite,Memnun edin / İsteği yerine getirin / Tatmin edin
Udravlja,yönetir
Udruženja,Dernek
Udruženje,Dernek
Uđi,Girin
Uđite,Içeri girin (siz)
Uđu,Girecekler (gelecek)
Ugao,Açı / Köşe
Ugaona,Köşe ile ilgili / Köşe takımı (koltuk)
Ugaone,Açısal
Ugla,Köşe (genitiv)
Uglavnom,Genellikle / Çoğunlukla
Ugostićemo,Ağırlacağız / Konuk edeceğiz (biz)
Ugostitelji,Konuk ağırlayan / İşletmeci
Ugostiti,Konuk etmek / Ağırlamak (fiil)
Ugovor,Sözleşme / Anlaşma (erkek)
Ugovor o pozajmici,Borç / Kredi Sözleşmesi
Ugovori,Sözleşmeler / Anlaşmalar
Ugrabi,Yakala
Ugradna / Ugradne,Yerleşik
Ugrožava,Tehlikeye atmak
Ugrožavanje,Tehlikeye sokma / Tehdit
Ugroženi,Nesli tükenmekte olan
Uhapsiti,Tutuklamak (fiil)
Uhapšen,Tutuklandı (erkek)
Uhapšena,Tutuklandı (kadın)
Uhapšeni,Tutklananlar / Gözaltına alınanalar (geçmiş)
Uho,Kulak
Uhvati,Yakalamak
Ujak,Dayı 
Ujaka,Dayıdan / Dayının kızı
Ujna,Yenge (dayı eşi)
Ujutro,Sabahleyin / Sabah vakti (zarf) (yaygın)
Ujutru,Sabahleyin / Sabah vakti / Sabhları (zarf) (Sırbistan)
Ukazali,Belirtilen
Ukazanom,Gösterilen / Sunulan
Ukazati,Göstermek
Ukazivati,Işaret etmek (fiil)
Ukazuju,Gösteriyorlar / İşaret ediyorlar
Uklon,Kaldırma
Ukljeve,Kepek balığı
Uključen,Açık / Aktif / Çalışır durumda (erkek)
Uključen / Uključena,Açık
Uključena,Açık / Aktif / Çalışır durumda (kadın)
Uključeno,Açık / Aktif / Çalışır durumda (nötr)
Uključiti,Açmak / Başlatmak / Dahil olmak / Kapsamak (fiil)
Uključivati,İçermek / Kapsamak / Dahil etmek / Açmak / Etkinleşrtirmek (fiil)
Uključuje,Açıyor / Başlatıyor (o)
Uključuju,Onlar içerir
Uključujući,Dahil olmak üzere
Ukoliko,Eğer / Durumunda / Şayet (resmi kullanım)
Ukopnoj,Cenaze
Ukorijeniti,Kök salmak (fiil)
Ukorijenjeni,Kök Salmış / Köklü
Ukosom,Saç kesimi ile
Ukrajina,Ukrayna
Ukrajinski,Ukrayna'ya ait
Ukrašavam,Süslemek (ben)
Ukrašavati,Süslemek / Dekore etmek (fiil)
Ukucajte,Girin / Tuşlayın (siz)
Ukucati,Tuşlamak / Numara girmek (fiil)
Ukupno,Toplam / Tümüyle / Genel toplam
Ukupno za grupu,Grup için toplam
Ukupno za konto,Hesap için toplam
Ukupno za poreski,Vergi toplamı
Ukupno za sva zaduženja,Tüm borçlanmalar için toplam
Ukupnom,Toplam / Genel
Ukus,Tat / Lezzet
Ukusa,Tatların (genitiv)
Ukuse,Tat / Lezzet (vokativ)
Ukusi,Tatlar / Lezzettler (erkek)
Ukusni,Lezzetli
Ukusno,Zevkli
Ukusnu,Lezzetli (kadın) (akuzativ)
Ukusu,Tat
Ul.,Ulica (cadde kısaltması)
Ulaganje,Yatırım
Ulagati,Yatırım yapmak (fiil)
Ulaz,Giriş / Bina girişi
Ulazak,Giriş
Ulaziti,Girmek (fiil)
Ulaznica,Giriş bileti
Ulaznica / Ulaznicu,Bilet
Ulaznice,Giriş biletleri
Ulazu,Girişte (lokativ)
Ulaže,Yatırım yapıyor
Ulcinjanima,Ulcinliler
Ulica,Cadde / Sokak (kadın)
Ulice,Caddeler / Sokaklar
Ulici,Caddede / Sokakta (lokativ)
Ulicu,Sokağı (akuzativ)
Ulovi,Yakalar
Uložićemo,Harcayacağız / Yatıracağız (biz)
Uložiti,Harcamak / Yatırım yapmak (fiil)
Ulja,Yağlar (nötr)
Ulje,Yağ (nötr) / Sıvı yağ
Uljepšalte,Güzelleştirin (emir)
Uljepšati,Güzelleştirmek / daha güzel hale getirmek (fiil)
Uljez,Uyumsuz / Yabancı
Uljeza,Uyumsuzu / Yabancıyı (akuzativ)
Ulju,Yağa / Yağda (dativ) (lokativ) (nötr)
Uljudan,Kibar / Nazik / Saygılı (erkek)
Uljudna (I),Kibar / Nazik / Saygılı (kadın)
Uljudna (II),Kibar / Nazik / Saygılı (nötr))
Uljudna molba,Kibar rica
Uljudne,Kibar / Nazik / Saygılı (çoğul) (kadın)
Uljudni,Kibar / Nazik / Saygılı (çoğul) (erkek)
Uljudno,Kibar / Nazik / Saygılı (nötr)
Umakom / Umak,Sos
Umakom od rajčice,Domates sosu ile
Umanjiti,Azaltmak / İndirmek
Umije,Bilir / Yapar (o)
Umirati,Ölmek (fiil)
Umiti,Yüz yıkmak (fiil) Bir kere yapmak
Umivaju se,Yüzlerini yıkarlar (onlar)
Umivam se,Yüzümü Yıkıyorum (ben)
Umivati se,Yüz yıkamak (fiil) Düzenli ve sürekli
Umjesto,Yerine
Umjeti,Bilmek / Yapabilmek (fiil)
Umjetnica,Sanatçı (kadın)
Umjetnički,Sanatla ilgili / Sanatsal
Umjetnik,Sanatçı (erkek)
Umjetnost,Sanat
Umjetnosti,Sanatlar
Umor,Yorgunluk
Umoran,Yorgun (erkek)
Umorna (I),Yorgun (kadın)
Umorna (II),Yorgun (nötr) (onlar)
Umorne,Yorgun (kadın) (çoğul)
Umorni,Yorgun (erkek) (çoğul)
Umorno,Yorgun (nötr) (o)
Umrlo,Ölü
Umu,Akıl
UNESCO-voj,UNESCO 'ya ait (sıfat)
Unapred,Önceden / Peşin olarak
Unaprediti,Geliştirmek (fiil)
Unapređena,Geliştirilmiş / Terfi ettirilmiş
Unapređenja,Geliştirme / İyileştirme (nötr) (genitiv)
Unapređenje,İyileştirme / Geliştirme
Unapređivati,İyileştirmk / Geliştirmek (fiil)
Unapređujemo,İyileştiriyoruz / Geliştiriyoruz (biz)
Unaprijed,Önceden / İleriye dönük / Peşinen
Unaprjeđenje,Geliştirme / İyileştirme
Unaprjeđenju,Gliştirme / İyileştirme (nötr) (dativ)
Unesite,Girmek
Unija,Birlik (kadın)
Unijeti,Sokmak / İçeri almak / Taşımak / Getirmek (fiil) (bitmiş eylem)
Unijom / Uniji / Unije / Uniju,Birlik
Uništavanje,İmha
Univer / Univerzitetu,Üniversite
Univerzitetima,Üniversitelerde
Unižavati,Küçük düşürmek / Aşağılamak (fiil)
Unositi,Taşımak / Sokmak (fiil)
Unuk,Torun (erkek)
Unuka,Torun (kız)
Unuštrasnju,Günden güne
Unutar,İçinde / Dahilinde (edat)
Unutra,İçinde / İçeride (zarf)
Unutrašnjih,Dahili / İç İşleri
Uočavaju,Fark ettiler
Uoči,Öncesinde / Arifesinde
Uostalom,Sonuçta / Nihayetinde / Zaten
Upala,Iltihap
Upaljeno,İltihaplanmış / Enfekte olmuş / İltihaplı (nötr)
Upamćeno,Ezberlenmiş
Upari dobre stvari,Iyi şeyleri eşleştir
Upariš,Eşleştir
Upariti,Eşleştirmek (fiil)
Upisane,Kazınmış / Yazılmış
Upisano,Girdi
Upisati,Yazmak / Doldurmak (fiil)
Upiši,Yaz (sen) (emir)
Upišite,Yazın / Girin / Kaydedin (emir) (siz)
Upišite odgovarajući,Uygun olanı yaz
Upit,Başvuru / Talep / Soru
Upita,Sordu (o) (geçmiş zaman)
Upitan,Şüpheli / Belirsiz (erkek)
Upitati,Sormak (fiil) (tamamlanmış tek seferlik soru)
Upite,Soruları / Başvuruları (erkek) (akuzativ)
Upitne,Sorgulanan / Şüpheli (Dişi-çoğul)
Upitne riječi,Soru kelimeleri
Upitni,Soru (sıfat)
Upitni oblik,Soru formu
Uplata,Ödeme / Para yatırma
Uplate,Ödemeler
Uplatni / Primijeniti,Uygula
Uplatni račun,Ödeme hesabı / Para yatırma hesabı
Uplatom,Ödeme yoluyla / Yatırılarak (instumental)
Upola,Yarısında
Upola cjene,Yarı fiyat
Upotpunjuje,Tamamlar
Upotreba,Kullanım
Upotrebe,Kulanımının (genitiv)
Upotrebljavati,Kullanmak
